dataset	lang	size	bpe.tokens	model	query	map	map.gm	p.5	p.10	r.10	rbo	ndcg	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
europarl	de	50000	16000	bm25	all	0.3501	0.254	0.726	0.6952	0.0755	0.416209105278763	0.5238	24.8	25.9	23.1	24.2	58.7	60.4	56.4	58.3	32.1	33.3	31	32.4	19.5	20.4	18.4	19.3	12.1	12.8	11	11.7
europarl	de	50000	32000	bm25	all	0.3519	0.2575	0.6966	0.6621	0.0701	0.414380372268258	0.5252	23.9	24.7	22.1	23	57.2	58.5	55.7	57.3	30.5	31.6	30	31.1	18.3	19	17.4	18.2	11.2	11.7	10.3	10.8
europarl	de	25000	16000	bm25	all	0.2729	0.1833	0.6479	0.6048	0.0649	0.337021607190079	0.4502	20	20.8	18.2	19.1	52.3	53.6	50.3	51.9	25.8	26.8	25.1	26.2	14.4	15	13.5	14.1	8.2	8.6	7.3	7.8
europarl	cs	25000	32000	bm25	all	0.24	0.1298	0.56	0.5552	0.0593	0.305948889666259	0.4102	17.5	18.4	15.6	16.4	50	51.5	46.7	48.4	22.9	24	21.3	22.4	12.2	12.9	10.8	11.5	6.7	7.2	5.7	6.1
europarl	de	75000	32000	bm25	all	0.3957	0.2928	0.7628	0.7283	0.0777	0.452774794963325	0.5665	27	28	25.3	26.4	60.6	62.2	58.6	60.5	34.3	35.4	33.3	34.6	21.5	22.3	20.3	21.2	13.7	14.3	12.6	13.3
europarl	de	100000	16000	bm25	all	0.3988	0.2973	0.763	0.7356	0.0796	0.469834046815233	0.5702	28.9	29.9	27	28.2	61.6	63.3	59.5	61.5	35.7	37	34.6	36	22.8	23.7	21.5	22.5	15	15.6	13.7	14.4
europarl	cs	125000	16000	bm25	all	0.3914	0.2916	0.7572	0.7324	0.0809	0.456725154477391	0.5633	28.7	30	26.7	28.1	61.9	63.9	59.4	61.7	35.5	37.1	34.1	35.7	22.7	23.8	21.2	22.3	14.8	15.7	13.4	14.3
europarl	cs	100000	32000	bm25	all	0.3891	0.2781	0.7301	0.6973	0.0746	0.460419331026573	0.5617	28.5	29.8	26.5	27.9	61.7	63.7	59.2	61.5	35.2	36.8	33.7	35.3	22.2	23.4	20.6	21.8	14.3	15.2	12.9	13.9
europarl	de	150000	32000	bm25	all	0.435	0.3428	0.8014	0.7637	0.0867	0.50252798213753	0.6008	30	31.1	28.3	29.5	63	64.7	61.1	63.2	37.1	38.4	36.2	37.7	24.1	25	23	24	16	16.8	14.9	15.7
europarl	cs	50000	16000	bm25	all	0.3373	0.2299	0.669	0.6607	0.0693	0.394681212428141	0.5096	23.9	25.2	21.9	23.3	57.5	59.5	54.9	57.3	30.3	31.9	28.8	30.5	18	19.1	16.6	17.7	11	11.8	9.7	10.6
europarl	cs	200000	32000	bm25	all	0.4245	0.313	0.7712	0.7384	0.0778	0.498437454316414	0.5928	31.5	32.8	29.5	31	63.9	65.9	61.7	64	38.1	39.7	36.6	38.3	25	26.2	23.4	24.7	16.8	17.7	15.3	16.3
europarl	cs	25000	16000	bm25	all	0.2536	0.1597	0.6152	0.5966	0.0625	0.316367761675933	0.4288	18.7	19.8	16.7	17.9	51.5	53.4	48.5	50.7	24.3	25.6	22.8	24.2	13.3	14.1	11.9	12.8	7.4	8	6.3	6.9
europarl	de	200000	16000	bm25	all	0.4296	0.3489	0.7753	0.7589	0.0866	0.500087460747041	0.5986	31.2	32.3	29.5	30.8	64	65.7	62	64	38.5	39.8	37.4	38.9	25.3	26.3	24.2	25.2	17	17.8	15.8	16.7
europarl	cs	125000	32000	bm25	all	0.404	0.287	0.7534	0.7308	0.0779	0.476103679726204	0.5724	29.4	30.8	27.4	29	62.6	64.6	60.2	62.5	36.3	37.9	34.8	36.5	23.2	24.5	21.6	22.9	15.2	16.1	13.7	14.8
europarl	de	175000	16000	bm25	all	0.4189	0.3373	0.7699	0.7445	0.0847	0.48328619773544	0.5891	30.6	31.8	29	30.2	63.3	65.1	61.4	63.4	37.8	39.1	36.8	38.2	24.7	25.7	23.6	24.6	16.5	17.2	15.3	16.2
europarl	de	175000	32000	bm25	all	0.433	0.3462	0.7808	0.7555	0.0835	0.499963256352769	0.5995	31	32.1	29.3	30.5	63.8	65.5	61.8	63.8	38.3	39.6	37.2	38.7	25.2	26.2	24	25	17	17.7	15.8	16.6
europarl	cs	150000	16000	bm25	all	0.3947	0.2825	0.7628	0.7276	0.0805	0.453071462846287	0.5647	29.4	30.7	27.4	28.8	62.1	64	59.7	62	36	37.5	34.6	36.1	23	24.2	21.5	22.7	15	15.9	13.7	14.6
europarl	cs	75000	16000	bm25	all	0.3568	0.2479	0.6993	0.6862	0.0725	0.415811215729049	0.5269	25.8	27.1	23.8	25.1	58.7	60.7	56.1	58.4	32	33.5	30.5	32.1	19.5	20.6	18	19.1	12.2	13	10.9	11.7
europarl	de	125000	16000	bm25	all	0.3957	0.3033	0.7589	0.7322	0.0812	0.460881393059136	0.5667	28.8	29.8	27	28.2	61.3	63	59.5	61.5	35.5	36.8	34.6	36	22.7	23.6	21.6	22.6	14.8	15.5	13.7	14.4
europarl	cs	150000	32000	bm25	all	0.4069	0.2731	0.7429	0.7204	0.0775	0.48221031716562	0.5738	30.2	31.5	28.3	29.7	63.3	65.3	61	63.3	37.1	38.7	35.7	37.3	24	25.1	22.5	23.7	15.8	16.7	14.5	15.4
europarl	cs	100000	16000	bm25	all	0.3762	0.272	0.7448	0.7097	0.0765	0.433155928048647	0.5481	27.4	28.7	25.4	26.8	60.4	62.3	57.8	60.2	33.9	35.4	32.4	34	21.3	22.3	19.7	20.8	13.6	14.4	12.3	13.2
europarl	de	100000	32000	bm25	all	0.4124	0.3261	0.7793	0.7593	0.0823	0.474833451688184	0.5808	28.4	29.4	26.7	27.8	61.7	63.4	59.7	61.6	35.6	36.8	34.7	36	22.7	23.5	21.5	22.4	14.8	15.4	13.6	14.3
europarl	de	150000	16000	bm25	all	0.4131	0.3289	0.7795	0.7479	0.0829	0.480679722615113	0.582	29.5	30.7	27.8	29	62.4	64.2	60.4	62.5	36.6	37.9	35.6	37	23.6	24.6	22.5	23.5	15.6	16.4	14.4	15.2
europarl	cs	175000	16000	bm25	all	0.4054	0.2977	0.7586	0.7297	0.0801	0.467044913077597	0.5725	31	32.4	29.1	30.6	63.6	65.6	61.3	63.6	37.8	39.4	36.3	38	24.8	26	23.2	24.5	16.6	17.5	15.2	16.2
europarl	de	200000	32000	bm25	all	0.4436	0.3393	0.785	0.7728	0.0852	0.518293374979706	0.6076	32	33.1	30.4	31.7	64.6	66.3	62.6	64.6	39.3	40.6	38.3	39.7	26.1	27.1	25	26	17.7	18.5	16.6	17.4
europarl	cs	200000	16000	bm25	all	0.4109	0.2885	0.7658	0.737	0.0817	0.477102933388165	0.5775	30.7	32	28.7	30.1	63	65	60.7	63	37.2	38.8	35.7	37.4	24.2	25.4	22.6	23.9	16.1	17	14.6	15.6
europarl	cs	175000	32000	bm25	all	0.4204	0.3227	0.7766	0.7421	0.0798	0.490804098056308	0.5892	31.2	32.5	29.2	30.7	63.3	65.2	61.2	63.4	37.5	39	36.1	37.7	24.5	25.6	23	24.2	16.4	17.3	15	15.9
europarl	de	125000	32000	bm25	all	0.4216	0.3297	0.7836	0.7479	0.0817	0.493845771185941	0.5887	29.8	30.9	28.1	29.2	63.1	64.8	61	63	37.2	38.4	36.1	37.4	24.2	25	22.9	23.8	16.1	16.7	14.7	15.5
europarl	de	75000	16000	bm25	all	0.3791	0.2878	0.7517	0.7262	0.0782	0.438361633317707	0.5515	26.7	27.7	24.9	26	60.3	62	58.2	60.1	33.9	35.2	33	34.3	21.2	22	20	21	13.5	14.2	12.4	13.1
europarl	cs	50000	32000	bm25	all	0.3321	0.2354	0.6883	0.6607	0.0691	0.406489019455717	0.5086	23.5	24.8	21.6	22.9	57.1	59.1	54.3	56.6	29.8	31.4	28.2	29.9	17.6	18.7	16.1	17.2	10.7	11.5	9.5	10.2
europarl	cs	75000	32000	bm25	all	0.3774	0.2806	0.7255	0.7041	0.075	0.444340142791411	0.5517	26.5	27.8	24.5	25.9	59.7	61.7	57.1	59.5	32.8	34.4	31.3	32.9	20.2	21.4	18.7	19.9	12.8	13.7	11.5	12.3
europarl	de	25000	32000	bm25	all	0.2501	0.1477	0.6248	0.5862	0.0603	0.318725917883057	0.4221	18.5	19	16.7	17.3	51.8	52.9	48.8	50.1	24.9	25.6	23.7	24.5	13.6	14.1	12.4	12.9	7.7	7.9	6.7	7
wiki	de	150000	32000	bm25	all	0.7471	0.3007	0.1623	0.0849	0.8488	0.392279882538547	0.7876	30	31.1	28.3	29.5	63	64.7	61.1	63.2	37.1	38.4	36.2	37.7	24.1	25	23	24	16	16.8	14.9	15.7
wiki	cs	125000	32000	neural	all	0.0779	0.001	0.0218	0.0151	0.1512	0.0991900102982997	0.1587	29.4	30.8	27.4	29	62.6	64.6	60.2	62.5	36.3	37.9	34.8	36.5	23.2	24.5	21.6	22.9	15.2	16.1	13.7	14.8
wiki	de	75000	32000	bm25	all	0.689	0.2051	0.1524	0.08	0.7996	0.353898041162939	0.736	27	28	25.3	26.4	60.6	62.2	58.6	60.5	34.3	35.4	33.3	34.6	21.5	22.3	20.3	21.2	13.7	14.3	12.6	13.3
wiki	cs	100000	16000	neural	all	0.0828	0.0011	0.0231	0.0158	0.1584	0.0978374408317129	0.1643	27.4	28.7	25.4	26.8	60.4	62.3	57.8	60.2	33.9	35.4	32.4	34	21.3	22.3	19.7	20.8	13.6	14.4	12.3	13.2
wiki	cs	25000	32000	bm25	all	0.2781	0.005	0.0679	0.0392	0.3918	0.140745097490933	0.3469	17.5	18.4	15.6	16.4	50	51.5	46.7	48.4	22.9	24	21.3	22.4	12.2	12.9	10.8	11.5	6.7	7.2	5.7	6.1
wiki	cs	100000	32000	bm25	all	0.6125	0.1125	0.1374	0.0733	0.7328	0.313930901410266	0.6657	28.5	29.8	26.5	27.9	61.7	63.7	59.2	61.5	35.2	36.8	33.7	35.3	22.2	23.4	20.6	21.8	14.3	15.2	12.9	13.9
wiki	de	75000	32000	neural	all	0.0898	0.0014	0.0248	0.0174	0.174	0.102513232535606	0.1755	27	28	25.3	26.4	60.6	62.2	58.6	60.5	34.3	35.4	33.3	34.6	21.5	22.3	20.3	21.2	13.7	14.3	12.6	13.3
wiki	de	100000	32000	neural	all	0.0957	0.0017	0.0265	0.0182	0.1822	0.107963876600797	0.184	28.4	29.4	26.7	27.8	61.7	63.4	59.7	61.6	35.6	36.8	34.7	36	22.7	23.5	21.5	22.4	14.8	15.4	13.6	14.3
wiki	cs	50000	16000	neural	all	0.0626	7e-04	0.0176	0.0127	0.1268	0.0839395585745894	0.1397	23.9	25.2	21.9	23.3	57.5	59.5	54.9	57.3	30.3	31.9	28.8	30.5	18	19.1	16.6	17.7	11	11.8	9.7	10.6
wiki	de	25000	16000	neural	all	0.068	8e-04	0.0184	0.0132	0.1322	0.080217239731596	0.1459	20	20.8	18.2	19.1	52.3	53.6	50.3	51.9	25.8	26.8	25.1	26.2	14.4	15	13.5	14.1	8.2	8.6	7.3	7.8
wiki	de	50000	32000	bm25	all	0.6142	0.122	0.1373	0.0734	0.734	0.310396477698322	0.6688	23.9	24.7	22.1	23	57.2	58.5	55.7	57.3	30.5	31.6	30	31.1	18.3	19	17.4	18.2	11.2	11.7	10.3	10.8
wiki	de	175000	32000	bm25	all	0.7585	0.3157	0.1644	0.0854	0.8541	0.396965503150987	0.797	31	32.1	29.3	30.5	63.8	65.5	61.8	63.8	38.3	39.6	37.2	38.7	25.2	26.2	24	25	17	17.7	15.8	16.6
wiki	cs	75000	16000	neural	all	0.072	8e-04	0.0199	0.0144	0.144	0.091990717689216	0.1504	25.8	27.1	23.8	25.1	58.7	60.7	56.1	58.4	32	33.5	30.5	32.1	19.5	20.6	18	19.1	12.2	13	10.9	11.7
