dataset	lang	model	measure1	measure2	corr
europarl	de	bm25	size	bpe.tokens	0.0
europarl	de	bm25	size	map	0.8228887278018441
europarl	de	bm25	size	map.gm	0.8798335881615015
europarl	de	bm25	size	p.5	0.6900655593423543
europarl	de	bm25	size	p.10	0.7535928349343203
europarl	de	bm25	size	r.10	0.8625819491779427
europarl	de	bm25	size	rbo	0.8453303101943839
europarl	de	bm25	size	ndcg	0.8453303101943839
europarl	de	bm25	size	bleu.lower	0.9315885051121781
europarl	de	bm25	size	bleu.lower.stem	0.9315885051121781
europarl	de	bm25	size	bleu.lower.depunc	0.9441565403200105
europarl	de	bm25	size	bleu.lower.stem.depunc	0.9441565403200105
europarl	de	bm25	size	prec1.lower	0.8970852271450604
europarl	de	bm25	size	prec1.lower.stem	0.8970852271450604
europarl	de	bm25	size	prec1.lower.depunc	0.9268325671031296
europarl	de	bm25	size	prec1.lower.stem.depunc	0.9268325671031296
europarl	de	bm25	size	prec2.lower	0.8970852271450604
europarl	de	bm25	size	prec2.lower.stem	0.9220529258469679
europarl	de	bm25	size	prec2.lower.depunc	0.9268325671031296
europarl	de	bm25	size	prec2.lower.stem.depunc	0.9434563530497263
europarl	de	bm25	size	prec3.lower	0.9095085938862487
europarl	de	bm25	size	prec3.lower.stem	0.9268325671031296
europarl	de	bm25	size	prec3.lower.depunc	0.952818526928451
europarl	de	bm25	size	prec3.lower.stem.depunc	0.948840144095737
europarl	de	bm25	size	prec4.lower	0.9046557008309873
europarl	de	bm25	size	prec4.lower.stem	0.9315885051121781
europarl	de	bm25	size	prec4.lower.depunc	0.9394501508629484
europarl	de	bm25	size	prec4.lower.stem.depunc	0.9441565403200105
europarl	de	bm25	bpe.tokens	size	0.0
europarl	de	bm25	bpe.tokens	map	0.2177158930442002
europarl	de	bm25	bpe.tokens	map.gm	0.11410886614690961
europarl	de	bm25	bpe.tokens	p.5	0.27386127875258304
europarl	de	bm25	bpe.tokens	p.10	0.2177158930442002
europarl	de	bm25	bpe.tokens	r.10	0.04564354645876384
europarl	de	bm25	bpe.tokens	rbo	0.15975241260567344
europarl	de	bm25	bpe.tokens	ndcg	0.18257418583505536
europarl	de	bm25	bpe.tokens	bleu.lower	0.04564354645876384
europarl	de	bm25	bpe.tokens	bleu.lower.stem	0.04564354645876384
europarl	de	bm25	bpe.tokens	bleu.lower.depunc	0.045834924851410566
europarl	de	bm25	bpe.tokens	bleu.lower.stem.depunc	0.045834924851410566
europarl	de	bm25	bpe.tokens	prec1.lower	0.09128709291752768
europarl	de	bm25	bpe.tokens	prec1.lower.stem	0.09128709291752768
europarl	de	bm25	bpe.tokens	prec1.lower.depunc	0.09166984970282113
europarl	de	bm25	bpe.tokens	prec1.lower.stem.depunc	0.09166984970282113
europarl	de	bm25	bpe.tokens	prec2.lower	0.06846531968814576
europarl	de	bm25	bpe.tokens	prec2.lower.stem	0.05753591361864521
europarl	de	bm25	bpe.tokens	prec2.lower.depunc	0.09166984970282113
europarl	de	bm25	bpe.tokens	prec2.lower.stem.depunc	0.06933752452815363
europarl	de	bm25	bpe.tokens	prec3.lower	0.05729365606426321
europarl	de	bm25	bpe.tokens	prec3.lower.stem	0.045834924851410566
europarl	de	bm25	bpe.tokens	prec3.lower.depunc	0.05729365606426321
europarl	de	bm25	bpe.tokens	prec3.lower.stem.depunc	0.04564354645876384
europarl	de	bm25	bpe.tokens	prec4.lower	0.06904309634237425
europarl	de	bm25	bpe.tokens	prec4.lower.stem	0.04564354645876384
europarl	de	bm25	bpe.tokens	prec4.lower.depunc	0.05753591361864521
europarl	de	bm25	bpe.tokens	prec4.lower.stem.depunc	0.045834924851410566
europarl	de	bm25	map	size	0.8228887278018441
europarl	de	bm25	map	bpe.tokens	0.2177158930442002
europarl	de	bm25	map	map.gm	0.8619322310183947
europarl	de	bm25	map	p.5	0.8619322310183947
europarl	de	bm25	map	p.10	0.8571428571428573
europarl	de	bm25	map	r.10	0.8284591346681658
europarl	de	bm25	map	rbo	0.9623515200690814
europarl	de	bm25	map	ndcg	0.9790880682441959
europarl	de	bm25	map	bleu.lower	0.8619322310183947
europarl	de	bm25	map	bleu.lower.stem	0.8619322310183947
europarl	de	bm25	map	bleu.lower.depunc	0.8571428571428573
europarl	de	bm25	map	bleu.lower.stem.depunc	0.8571428571428573
europarl	de	bm25	map	prec1.lower	0.8786687791935092
europarl	de	bm25	map	prec1.lower.stem	0.8786687791935092
europarl	de	bm25	map	prec1.lower.depunc	0.8907563025210086
europarl	de	bm25	map	prec1.lower.stem.depunc	0.8907563025210086
europarl	de	bm25	map	prec2.lower	0.8619322310183947
europarl	de	bm25	map	prec2.lower.stem	0.8692060496886043
europarl	de	bm25	map	prec2.lower.depunc	0.8907563025210086
europarl	de	bm25	map	prec2.lower.stem.depunc	0.8813875827135971
europarl	de	bm25	map	prec3.lower	0.8571428571428573
europarl	de	bm25	map	prec3.lower.stem	0.8571428571428573
europarl	de	bm25	map	prec3.lower.depunc	0.8571428571428573
europarl	de	bm25	map	prec3.lower.stem.depunc	0.8451956828432803
europarl	de	bm25	map	prec4.lower	0.8692060496886043
europarl	de	bm25	map	prec4.lower.stem	0.8619322310183947
europarl	de	bm25	map	prec4.lower.depunc	0.8692060496886043
europarl	de	bm25	map	prec4.lower.stem.depunc	0.8571428571428573
europarl	de	bm25	map.gm	size	0.8798335881615015
europarl	de	bm25	map.gm	bpe.tokens	0.11410886614690961
europarl	de	bm25	map.gm	map	0.8619322310183947
europarl	de	bm25	map.gm	p.5	0.75
europarl	de	bm25	map.gm	p.10	0.7615129419677079
europarl	de	bm25	map.gm	r.10	0.8666666666666667
europarl	de	bm25	map.gm	rbo	0.8666666666666667
europarl	de	bm25	map.gm	ndcg	0.8833333333333333
europarl	de	bm25	map.gm	bleu.lower	0.8666666666666667
europarl	de	bm25	map.gm	bleu.lower.stem	0.8666666666666667
europarl	de	bm25	map.gm	bleu.lower.depunc	0.8786687791935092
europarl	de	bm25	map.gm	bleu.lower.stem.depunc	0.8786687791935092
europarl	de	bm25	map.gm	prec1.lower	0.8833333333333333
europarl	de	bm25	map.gm	prec1.lower.stem	0.8833333333333333
europarl	de	bm25	map.gm	prec1.lower.depunc	0.9121418755437382
europarl	de	bm25	map.gm	prec1.lower.stem.depunc	0.9121418755437382
europarl	de	bm25	map.gm	prec2.lower	0.8666666666666667
europarl	de	bm25	map.gm	prec2.lower.stem	0.8739804390886586
europarl	de	bm25	map.gm	prec2.lower.depunc	0.9121418755437382
europarl	de	bm25	map.gm	prec2.lower.stem.depunc	0.9030259356496025
europarl	de	bm25	map.gm	prec3.lower	0.8619322310183948
europarl	de	bm25	map.gm	prec3.lower.stem	0.8619322310183948
europarl	de	bm25	map.gm	prec3.lower.depunc	0.8954053273686235
europarl	de	bm25	map.gm	prec3.lower.stem.depunc	0.8833333333333333
europarl	de	bm25	map.gm	prec4.lower	0.8571731229523382
europarl	de	bm25	map.gm	prec4.lower.stem	0.8666666666666667
europarl	de	bm25	map.gm	prec4.lower.depunc	0.8739804390886586
europarl	de	bm25	map.gm	prec4.lower.stem.depunc	0.8786687791935092
europarl	de	bm25	p.5	size	0.6900655593423543
europarl	de	bm25	p.5	bpe.tokens	0.27386127875258304
europarl	de	bm25	p.5	map	0.8619322310183947
europarl	de	bm25	p.5	map.gm	0.75
europarl	de	bm25	p.5	p.10	0.8451956828432803
europarl	de	bm25	p.5	r.10	0.75
europarl	de	bm25	p.5	rbo	0.8499999999999999
europarl	de	bm25	p.5	ndcg	0.8333333333333333
europarl	de	bm25	p.5	bleu.lower	0.75
europarl	de	bm25	p.5	bleu.lower.stem	0.75
europarl	de	bm25	p.5	bleu.lower.depunc	0.7447763937925935
europarl	de	bm25	p.5	bleu.lower.stem.depunc	0.7447763937925935
europarl	de	bm25	p.5	prec1.lower	0.7666666666666667
europarl	de	bm25	p.5	prec1.lower.stem	0.7666666666666667
europarl	de	bm25	p.5	prec1.lower.depunc	0.7782494901428225
europarl	de	bm25	p.5	prec1.lower.stem.depunc	0.7782494901428225
europarl	de	bm25	p.5	prec2.lower	0.75
europarl	de	bm25	p.5	prec2.lower.stem	0.7563292261344161
europarl	de	bm25	p.5	prec2.lower.depunc	0.7782494901428225
europarl	de	bm25	p.5	prec2.lower.stem.depunc	0.7679940200384471
europarl	de	bm25	p.5	prec3.lower	0.7447763937925935
europarl	de	bm25	p.5	prec3.lower.stem	0.7447763937925935
europarl	de	bm25	p.5	prec3.lower.depunc	0.7447763937925935
europarl	de	bm25	p.5	prec3.lower.stem.depunc	0.7333333333333334
europarl	de	bm25	p.5	prec4.lower	0.7563292261344161
europarl	de	bm25	p.5	prec4.lower.stem	0.75
europarl	de	bm25	p.5	prec4.lower.depunc	0.7563292261344161
europarl	de	bm25	p.5	prec4.lower.stem.depunc	0.7447763937925935
europarl	de	bm25	p.10	size	0.7535928349343203
europarl	de	bm25	p.10	bpe.tokens	0.2177158930442002
europarl	de	bm25	p.10	map	0.8571428571428573
europarl	de	bm25	p.10	map.gm	0.7615129419677079
europarl	de	bm25	p.10	p.5	0.8451956828432803
europarl	de	bm25	p.10	r.10	0.8117225864930513
europarl	de	bm25	p.10	rbo	0.8954053273686237
europarl	de	bm25	p.10	ndcg	0.8451956828432803
europarl	de	bm25	p.10	bleu.lower	0.7949860383179369
europarl	de	bm25	p.10	bleu.lower.stem	0.7949860383179369
europarl	de	bm25	p.10	bleu.lower.depunc	0.7899159663865547
europarl	de	bm25	p.10	bleu.lower.stem.depunc	0.7899159663865547
europarl	de	bm25	p.10	prec1.lower	0.8117225864930513
europarl	de	bm25	p.10	prec1.lower.stem	0.8117225864930513
europarl	de	bm25	p.10	prec1.lower.depunc	0.823529411764706
europarl	de	bm25	p.10	prec1.lower.stem.depunc	0.823529411764706
europarl	de	bm25	p.10	prec2.lower	0.7949860383179369
europarl	de	bm25	p.10	prec2.lower.stem	0.8016949001982274
europarl	de	bm25	p.10	prec2.lower.depunc	0.823529411764706
europarl	de	bm25	p.10	prec2.lower.stem.depunc	0.8135885378894743
europarl	de	bm25	p.10	prec3.lower	0.7899159663865547
europarl	de	bm25	p.10	prec3.lower.stem	0.7899159663865547
europarl	de	bm25	p.10	prec3.lower.depunc	0.7899159663865547
europarl	de	bm25	p.10	prec3.lower.stem.depunc	0.7782494901428224
europarl	de	bm25	p.10	prec4.lower	0.784817112825633
europarl	de	bm25	p.10	prec4.lower.stem	0.7949860383179369
europarl	de	bm25	p.10	prec4.lower.depunc	0.784817112825633
europarl	de	bm25	p.10	prec4.lower.stem.depunc	0.7899159663865547
europarl	de	bm25	r.10	size	0.8625819491779427
europarl	de	bm25	r.10	bpe.tokens	0.04564354645876384
