lang	size	bpe.tokens	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
cs	150000	32000	30.2	31.5	28.3	29.7	63.3	65.3	61.0	63.3	37.1	38.7	35.7	37.3	24.0	25.1	22.5	23.7	15.8	16.7	14.5	15.4
de	25000	32000	18.5	19.0	16.7	17.3	51.8	52.9	48.8	50.1	24.9	25.6	23.7	24.5	13.6	14.1	12.4	12.9	7.7	7.9	6.7	7.0
de	100000	16000	28.9	29.9	27.0	28.2	61.6	63.3	59.5	61.5	35.7	37.0	34.6	36.0	22.8	23.7	21.5	22.5	15.0	15.6	13.7	14.4
cs	50000	16000	23.9	25.2	21.9	23.3	57.5	59.5	54.9	57.3	30.3	31.9	28.8	30.5	18.0	19.1	16.6	17.7	11.0	11.8	9.7	10.6
cs	75000	32000	26.5	27.8	24.5	25.9	59.7	61.7	57.1	59.5	32.8	34.4	31.3	32.9	20.2	21.4	18.7	19.9	12.8	13.7	11.5	12.3
cs	175000	16000	31.0	32.4	29.1	30.6	63.6	65.6	61.3	63.6	37.8	39.4	36.3	38.0	24.8	26.0	23.2	24.5	16.6	17.5	15.2	16.2
de	175000	32000	31.0	32.1	29.3	30.5	63.8	65.5	61.8	63.8	38.3	39.6	37.2	38.7	25.2	26.2	24.0	25.0	17.0	17.7	15.8	16.6
de	50000	16000	24.8	25.9	23.1	24.2	58.7	60.4	56.4	58.3	32.1	33.3	31.0	32.4	19.5	20.4	18.4	19.3	12.1	12.8	11.0	11.7
de	75000	32000	27.0	28.0	25.3	26.4	60.6	62.2	58.6	60.5	34.3	35.4	33.3	34.6	21.5	22.3	20.3	21.2	13.7	14.3	12.6	13.3
cs	100000	32000	28.5	29.8	26.5	27.9	61.7	63.7	59.2	61.5	35.2	36.8	33.7	35.3	22.2	23.4	20.6	21.8	14.3	15.2	12.9	13.9
de	125000	16000	28.8	29.8	27.0	28.2	61.3	63.0	59.5	61.5	35.5	36.8	34.6	36.0	22.7	23.6	21.6	22.6	14.8	15.5	13.7	14.4
cs	200000	32000	31.5	32.8	29.5	31.0	63.9	65.9	61.7	64.0	38.1	39.7	36.6	38.3	25.0	26.2	23.4	24.7	16.8	17.7	15.3	16.3
cs	200000	16000	30.7	32.0	28.7	30.1	63.0	65.0	60.7	63.0	37.2	38.8	35.7	37.4	24.2	25.4	22.6	23.9	16.1	17.0	14.6	15.6
cs	25000	32000	17.5	18.4	15.6	16.4	50.0	51.5	46.7	48.4	22.9	24.0	21.3	22.4	12.2	12.9	10.8	11.5	6.7	7.2	5.7	6.1
de	75000	16000	26.7	27.7	24.9	26.0	60.3	62.0	58.2	60.1	33.9	35.2	33.0	34.3	21.2	22.0	20.0	21.0	13.5	14.2	12.4	13.1
cs	150000	16000	29.4	30.7	27.4	28.8	62.1	64.0	59.7	62.0	36.0	37.5	34.6	36.1	23.0	24.2	21.5	22.7	15.0	15.9	13.7	14.6
de	125000	32000	29.8	30.9	28.1	29.2	63.1	64.8	61.0	63.0	37.2	38.4	36.1	37.4	24.2	25.0	22.9	23.8	16.1	16.7	14.7	15.5
cs	75000	16000	25.8	27.1	23.8	25.1	58.7	60.7	56.1	58.4	32.0	33.5	30.5	32.1	19.5	20.6	18.0	19.1	12.2	13.0	10.9	11.7
de	25000	16000	20.0	20.8	18.2	19.1	52.3	53.6	50.3	51.9	25.8	26.8	25.1	26.2	14.4	15.0	13.5	14.1	8.2	8.6	7.3	7.8
de	50000	32000	23.9	24.7	22.1	23.0	57.2	58.5	55.7	57.3	30.5	31.6	30.0	31.1	18.3	19.0	17.4	18.2	11.2	11.7	10.3	10.8
cs	125000	32000	29.4	30.8	27.4	29.0	62.6	64.6	60.2	62.5	36.3	37.9	34.8	36.5	23.2	24.5	21.6	22.9	15.2	16.1	13.7	14.8
cs	100000	16000	27.4	28.7	25.4	26.8	60.4	62.3	57.8	60.2	33.9	35.4	32.4	34.0	21.3	22.3	19.7	20.8	13.6	14.4	12.3	13.2
cs	25000	16000	18.7	19.8	16.7	17.9	51.5	53.4	48.5	50.7	24.3	25.6	22.8	24.2	13.3	14.1	11.9	12.8	7.4	8.0	6.3	6.9
de	175000	16000	30.6	31.8	29.0	30.2	63.3	65.1	61.4	63.4	37.8	39.1	36.8	38.2	24.7	25.7	23.6	24.6	16.5	17.2	15.3	16.2
de	200000	32000	32.0	33.1	30.4	31.7	64.6	66.3	62.6	64.6	39.3	40.6	38.3	39.7	26.1	27.1	25.0	26.0	17.7	18.5	16.6	17.4
de	100000	32000	28.4	29.4	26.7	27.8	61.7	63.4	59.7	61.6	35.6	36.8	34.7	36.0	22.7	23.5	21.5	22.4	14.8	15.4	13.6	14.3
